,Residuos_1,Residuos_2,Alineados,RMSD,Identidad
first_AF2_relaxed_first_AF2_unrelaxed,726.0,726.0,320.0,0.1279473447077379,100.0
first_AF2_relaxed_second_AF2_relaxed,726.0,726.0,320.0,0.6067481582951278,100.0
first_AF2_unrelaxed_second_AF2_relaxed,726.0,726.0,320.0,0.6243310456394234,100.0
AF3_model_second_AF2_relaxed,726.0,726.0,320.0,24.035613176364535,100.0
AF3_model_first_AF2_relaxed,726.0,726.0,320.0,24.10725302191436,100.0
AF3_model_first_AF2_unrelaxed,726.0,726.0,320.0,24.112092525202343,100.0
rosetta_model_second_AF2_relaxed,726.0,726.0,320.0,28.11468506153404,100.0
first_AF2_relaxed_rosetta_model,726.0,726.0,320.0,28.26699585649576,100.0
first_AF2_unrelaxed_rosetta_model,726.0,726.0,320.0,28.273277380423263,100.0
second_AF2_relaxed_second_AF2_unrelaxed,726.0,726.0,320.0,28.826657551765457,100.0
first_AF2_relaxed_second_AF2_unrelaxed,726.0,726.0,320.0,28.952321165027474,100.0
first_AF2_unrelaxed_second_AF2_unrelaxed,726.0,726.0,320.0,28.958034122606303,100.0
rosetta_model_second_AF2_unrelaxed,726.0,726.0,320.0,29.4030280331586,100.0
AF3_model_rosetta_model,726.0,726.0,320.0,29.862755995982887,100.0
AF3_model_second_AF2_unrelaxed,726.0,726.0,320.0,31.599952470400904,100.0
